PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic Gloss,Arabic Examples
8300,half,partially or to the extent of a half,he was half hidden by the bushes,نِصْف,إشارة إلى أحد الجزأين المتساويين أو المتعادلين تقريباً من كل واحد, نصف نائم. نصف ساعة
24432,"not, non",negation of a word or group of words,he does not speak French; she is not going; they are not friends; not many; not much; not at all,"لَيْسَ, لا",أداة تستخدم لنفي فعل أو صفة أو عبارة,ليس بالقليل. ليسوا أصدقاء. لا يتحدث لغات أخرى
25873,nowhere,not anywhere; in or at or to no place,I am going nowhere,GAP,إشارة إلى عدم الوجود في أي مكان أو الذهاب إليه أو المجيء منه ,لم أجده في ولا مكان. لا مكان لدي لأذهب إليه
25968,"somewhere, someplace",in or at or to some place,"she must be somewhere""; (`someplace' is used informally for `somewhere')",مَكَان ما,إشارة إلى الوجود في مكان ما أو الذهاب إليه أو المجيء منه,اختبأ في مكان ما. ذاهب إلى مكان ما يكون آمناً
31700,still,"with reference to action or condition; without change, interruption, or cessation",it's still warm outside; will you still love me when we're old and grey?,GAP,مستمراً في الحدوث دون تغيّر أو انقطاع,ما زال كل شيء على حاله. هل ما زلت غاضباً مني؟
32002,"anymore, any longer",at the present or from now on; usually used with a negative,Alice doesn't live here anymore; the children promised not to quarrel any more,GAP,إشارة إلى توقف شيء ما عن الحدوث في الزمن الحاضر وعدم حدوثه ثانية في المستقبل,لن تتحدث معه بعد الآن. لن أقبل بالتنازل بعد الآن
33808,"instantaneously, in a flash, outright, instantly",without any delay,he was killed outright,"حَالاً, فَوْرَاً",بطريقة يحدث فيها الشيء مباشرة دون أي تأجيل,اخرج من الغرفة حالاً. طفل مطيع يلبي طلب والدته فوراً. سأرسل لهم نسخة في الحال. سأذهب على الفور لأتفقد حاله. 
37620,"genuinely, really, truly",in accordance with truth or fact or reality,she was now truly American; a genuinely open society; they don't really listen to us,حَقَّاً,بشكل حقيقي وصادق بعيداً عن الخداع والكذب,أنا حقاً آسف بشأن ما حدث. لقد سرّت في الحقيقة عندما رأته. في الواقع لا أحد يستمع إليه
44672,vocationally,affecting the pursuit of a vocation or occupation,vocationally trained, مِهَنِيَّاً,بطريقة تزودك بالمهارات  اللازمة للاستعداد للوظيفة أو المهنة,متدرب مهنياً. استشاره مهنياً. 
47177,"devilishly, madly, insanely, deadly, deucedly",(used as intensives) extremely,she was madly in love; deadly dull; deadly earnest; deucedly clever; insanely jealous,   لِلْغَايَة,بطريقة مفعمة بالطاقة والحماس والاهتمام,إنها سعيدة للغاية. ذكي إلى حد كبير.  جدي للغاية
49277,"now, straightaway, directly, at once, immediately, instantly, forthwith, straight off, in real time, like a shot, right away",without delay or hesitation; with no time intervening,he answered immediately; found an answer straightaway; an official accused of dishonesty should be suspended forthwith; Come here now!,"حَالاً, مُبَاشَرَةً, فَوْرَاً",حدوث الشيء بدون تردد أو تأجيل أو مقاطعة في المنتصف ,أحضر الطعام حالاً. أجاب على السؤال مباشرة. ذهب لاستقباله فوراً عند معرفته بمجيئه. لبى النداء في الحال.  عند رؤيته هرب على الفور. 
54750,next,at the time or occasion immediately following,next the doctor examined his back," بَعْدَها, ثُمَّ",كون الشيء يأتي مباشرة بعد الشيء الموجود أو المذكور في الوقت الحاضر,بعد ذلك ذهبنا للتسوق. اكسر البيض بعدها قم بخفقه. ثم ماذا حدث؟ 
55174,by machine,with the use of a machine,the shirt is sewn by machine,آلِيَّاً, تم باستخدام الآلة ,تمت تعبئته آلياً لا تمسه الأيدي. 
60392,"increasingly, progressively, more and more",advancing in amount or intensity,she became increasingly depressed,تَدْرِيجِيَّا,بشكل يتزايد في الكم أو الحجم كلما تقدم,يتطور نمو الإنسان تدريجياً.
60735,de facto,in reality or fact,"the result was, de facto, a one-party system","فِعْلِيَّا, وَاقِعِيَّا","موجود في الحقيقة، رغم أنه غير قانوني أو غير مقصود بالضرورة",الدكتاتوريون يحكمونهم فعلياً. كانت النتيجة واقعياً هي الفصل من العمل . 
62868,"purposely, intentionally, advisedly, on purpose, deliberately, by choice, by design, designedly",with intention; in an intentional manner,he used that word intentionally; I did this by choice," مَقْصُود, عَمْدَا, مُتَعَمَّد","بطريقة مقصودة ومخطط لها مسبقاً، مع سبق الأصرار والتصميم",لم أكن أنوي تجاهلك بشكل مقصود. كانت نيته التجريح عمداً. لم أكن أنوي الإساءة بشكل متعمد. فعلت ذلك عن قصد. .  
64899,chromatically,with respect to color,chromatically pure,لَوْنِيَّا,فيما يخص الألوان ودرجاتها وتشبعها,مشبع لونياً. صافٍ لونياً
65694,twice,two times,I called her twice,"مَرَّتَيْن, مَرَّتَان",حدوث الشيء مرتين,اتصلت بك مرتين
71721,nearby,not far away in relative terms,she works nearby; the planets orbiting nearby are Venus and Mars,قَرِيْباً,ليس بعيداً نسبياً,لاحظت وجود مقهى قريباً من هنا
73946,asexually,in an asexual manner,plants that reproduce asexually,GAP,بطريقة حيث لا وجود للأعضاء الجنسية والتزاوج,تتكاثر البكتيريا لا جنسياً
76459,"back and forth, to and fro, backward and forward",moving from one place to another and back again,he traveled back and forth between Los Angeles and New York; the treetops whipped to and fro in a frightening manner; the old man just sat on the porch and rocked back and forth all day,GAP,التحرك في أحد الاتجاهات ثم العودة في الاتجاه المعاكس,تراقصت مع الموسيقى جيئة وذهاباً. قطعت تذكرة السفر ذهاباً وإياباً.
76947,aurally,with regard to sound or the ear,the new musical was visually and aurally appealing,سَمْعِيَّا,بطريقة خاصة بالسمع والأصوات  والأذنين ,يمكن اكتشاف الأمواج الصوتية سمعياً
78316,conversely,with the terms of the relation reversed,"conversely, not all women are mothers",بِالْعَكْس,بطريقة معاكسة للشيء أو الفعل,"وبالعكس، زوجها نباتي. "
79765,"tonight, this evening, this night",during the night of the present day,drop by tonight,GAP,الليلة التي تأتي بعد غروب اليوم الحالي,سنخرج للعشاء سوياً هذه الليلة
80519,"higher up, in a higher place, above, to a higher place",in or to a place that is higher,, أَعْلَى,موجود أو ذاهب إلى مكان ما أعلى من الحالي,تمت ترقيته إلى وظيفة أعلى. صاعد إلى أعلى مكان 
81118,contractually,by virtue of a contract,they were contractually responsible,تعاقدياً,بحسب ما هو مكتوب ومذكور في العقد,كان ملتزماً تعاقدياً. استحقت نصف المبلغ بحسب العقد
84573,"specially, particularly, peculiarly, especially",to a distinctly greater extent or degree than is common,he was particularly fussy about spelling; a particularly gruesome attack; under peculiarly tragic circumstances; an especially (or specially) cautious approach to the danger,خُصُوصَاً,بطريقة معينة غير الطريقة العامة المعتادة,الكلام موجه لك بشكل خاص. أحب الحلويات وخصوصاً الكيك
86161,"speedily, rapidly, chop-chop, quickly, apace",with rapid movements,he works quickly,مُسْرِع,بطريقة وبتحرك سريع في وقت قصير,وصلت الشرطة مسرعة وألقت القبض عليه. تسير السيارة مسرعة دون توقف
86488,fast,quickly or rapidly (often used as a combining form),how fast can he get here?; ran as fast as he could; needs medical help fast; fast-running rivers; fast-breaking news; fast-opening (or fast-closing) shutters,سريع,بطريقة سريعة (تستخدم في عبارة مركبة),نهر سريع الجريان. افتتاح سريع للمركز . أخبار عاجلة سريعة الوصول
101601,far,at or to or from a great distance in space,he traveled far; strayed far from home; sat far away from each other,بَعِيد,"في، إلى أو من مسافة كبيرة وبعيدة في الزمان أو المكان",ما زال المكان بعيداً من هنا. سافر بعيداً عن بلده
104448,forth,out into view,came forth from the crowd; put my ideas forth,مُتَقَدِّمَاً,من مكان ما إلى مكان آخر للأمام بحيث يمكن رؤيته,انطلقت السفينة متقدمة من الميناء. خرج من بين الحضور متقدماً إلى المسرح
105032,"at the least, at least",not less than,at least two hours studying the manual; a tumor at least as big as an orange,GAP,إشارة إلى أن الموجود أو المذكور حالياً هو أقل ما يمكن بالعدد أو النوع,سأدفع نصف الأجرة على الأقل. اغسل الصحون على الأقل
105215,"at most, at the most",not more than,spend at most $20 on the lunch,GAP,إشارة إلى أن الموجود أو المذكور حالياً هو أكثر شيء ممكن بالعدد أو النوع,سيحتاج العمل أسبوعاً على الأكثر. سيكلف هذا عشرين دولاراً على الأكثر
107608,"normally, unremarkably, usually, commonly, ordinarily",under normal conditions,usually she was late,عَادَةً,يحدث بطريقة معتادة ومتوقعة ومنتظمة في معظم الأوقات,يخرج دون تناول الإفطار عادةً. كانت تتأخر عادةً. يذهب إلى عمله سيراً على الأقدام بشكل اعتيادي
117417,together,at the same time,we graduated together,"سَوِيَّةً, مَعًا",مع بعضهم البعض في نفس الوقت,ردد التلاميذ سوياً. اخلط الخضار معاً في الوعاء. يجب أن نلتقي مع بعضنا البعض. 
118527,"and so, then, so, and then",subsequently or soon afterward (often used as sentence connectors),"then he left; go left first, then right; first came lightning, then thunder; we watched the late movie and then went to bed; and so home and to bed", ثُمَّ," يأتي مباشرة بعد الشيء الحاضر يكون تالياً أو نتيجة له، وتستخدم كلمات للربط",ذهب إلى البنك ثم إلى السوق. سأتدرب جيداً ومن ثم أصبح متمرساً. سأكتب المقال بعد ذلك سأنشره 
119149,volumetrically,with respect to volume,analyzed volumetrically,حَجْمِيَّاً,بشكل يخص قياس الحجم ثلاثي الأبعاد,تحليل مكونات المادة حجمياً. تقنية العرض بشكل حجمي
124579,ethnically,with respect to ethnicity,the neighborhood is ethnically diverse,عِرْقِيَّاً,بشكل يتعلق بالعرق من حيث الانتماء إلى مجموعة معينة من الناس تشترك في الثقافة واللغة والتاريخ والعادات,مجموعات مترابطة عرقياً. بلدة متنوعة عرقياً
125333,injuriously,in an injurious manner,,GAP,بطريقة تسبب الأذى والضرر,أثرت العملية عليها بشكل مؤذٍ. 
127522,socially,in a social manner,socially unpopular,إِجْتِمَاعِيَّاً,بشكل له علاقة بالمجتمع أو بالمواقف الاجتماعية,شخصية معروفة اجتماعياً. تصرف غير مقبول اجتماعياً
128223,temporally,with regard to temporal order,temporally processed,"مَرْحَلِيَّا, مَرْحَليّ, زَمَنِي",بشكل له علاقة بالترتيب الزمني حيث يكون محدوداً به,يتم التقويم مرحلياً. عملية متواصلة زمنياً.   يكون التأثير زمنياً 
128750,therapeutically,for therapeutic purposes,,عِلاجِيَّاً,بطريقة تخص علاج الأمراض أو الحالات الطبية,دواء فعال علاجياً. إنه من أكثر المواد الآمنة علاجياً
129340,verbally,by means of language,verbally expressive," لَفْظِيَّا, شَفَهِيَّا",بطريقة تستخدم فيها اللغة  لفظاً وكلاماً بدل الكتابة, تم العقد لفظياً. عبر عنه شفهياً.
130685,bacterially,by bacteria,spreads bacterially," بَكْتِيْرِيَّاً, جُرْثُوْمِيَّاً",يحدث وتسببه البكتيريا ,تنتشر العدوى بكتيرياً. النمو جرثومياً. مواد تقتل العفن المنتشر بواسطة البكتيريا
131326,spatially,with regard to space,spatially limited, مَكَانِيَّاً,على نحو له علاقة بالموقع والمساحة والحجم,منطقة محدودة مكانياً. لا يعرف الطريق ومشوش مكانياً.
131610,"lingually, linguistically",with respect to language,linguistically impaired children; a lingually diverse population, لُغَوِيَّا,على نحو له علاقة باللغة وعلومها.,بيانات هامة لغوياً. سكان متنوعون لغوياً
136477,nationally,with regard to a nation taken as a whole,a nationally uniform culture, وَطَنِيَّا,"بواسطة أو إلى كل فرد في الأمة، على نحو يتعلق بالأمة ككلّ",إعلان تم عرضه وطنياً. شخصية مشهورة وطنياً
137279,sexually,by sexual means,reproduce sexually, جِنْسِيَّاً,على نحو جنسي وبوسائل جنسية,تتكاثر الثدييات جنسياً.
137473,lexically,by means of words,lexically represented, مُعْجَمِيَّاَ,على نحو له علاقة بكلمات ومفردات اللغة والتي تتميز بشكلها النحوي والتركيبي,تمييز الكلمات معجمياً. مفردات متشابهة معجمياً
139421,"likely, in all probability, belike, probably, in all likelihood",with considerable certainty; without much doubt,He is probably out of the country; in all likelihood we are headed for war, رُبَّمَا,متوقع الحدوث أو صحيح أوليس فيه مجال كبير للشك,ربما هو خارج البلاد. من المحتمل أن تكون الإجابة صحيحة. على الأرجح سأعود غداً. من المتوقع فوزه في السباق. من المرجح هطول المطر غداً.
143696,humanly,in the manner of human beings,humanly possible,إِنْسَانِيَّاً,"على نحو يمكن القيام به بواسطة البشر، أو ضمن حدود قدرتهم ومعرفتهم",بذلوا كل ما استطاعوا إنسانياً لإنقاذ حياته. ليس من الممكن إنسانياً توقع المستقبل
148422,such,to so extreme a degree,he is such a baby; Such rich people!,هَائِل,إلى درجة كبيرة,إنهم مزعجون بشكل هائل
154814,"mindfully, heedfully, advertently",in a careful deliberate manner,," بِعِنَايَة, بِاِهْتِمَام",على نحو يبدو فيه الاهتمام والرعاية,عليك حمل الصغير بعناية.  احرس المكان باهتمام
172731,"on the way, en route",on a route to some place,help is on the way; we saw him on the way to California,GAP,إشارة إلى قرب قدوم الشيء إلى مكان ما,شاب التوصيل قادم على الطريق. أنا في الطريق إلى العمل
177405,"inversely, reciprocally",in an inverse or contrary manner,"inversely related; wavelength and frequency are, of course, related reciprocally""- F.A.Geldard","تَبَادُلِيَّا, عَكْسِيَّا",على نحو معاكس أو متبادل (بشكل متعادل) للأشياء,تتم التجارة تبادلياً بين البلدين. يتناسبان عكسياً
182828,once,as soon as,"once we are home, we can rest","عِنْدَمَا, حَالَمَا, حِيْنَ",في وقت حدوث الشيء مباشرة,عندما تحدثَت عرفها فوراً. حالما يعود للمنزل أستطيع النوم. حين خروك من المنزل تأكد من إغلاق الباب . ما إن ينتهي الربيع حتى ترتفع درجات الحرارة. 
187053,emotionally,with regard to emotions,emotionally secure,عَاطِفِيَّا,على نحو مفعم بالمشاعر والعواطف.,مضطرب عاطفياً. تثيرني الأغنية عاطفياً
190913,someday,some unspecified time in the future,someday you will understand my actions,GAP,في وقت ما في المستقبل غير معروف بعد ولم يُذكر, سأحقق أحلامي يوماً ما. سنلتقي يوماً ما.
198594,o'clock,according to the clock,it's three o'clock in Tokyo now,GAP,إشارة إلى الساعة بعد دورة كاملة,إنها الثالثة على رأس الساعة بتوقيت واشنطن
199833,"tactually, haptically",by touch,he perceives shapes tactually,لَمْسَا,بطريقة اللمس وباستخدام الحواس اللمسية,يدرك الأشياء لمساً
215173,"productively, fruitfully, profitably",in a productive way,they worked together productively for two years,GAP,على نحو له نتائج إيجابية بشكل كبير,يدخر ماله على نحو مثمر.. يستثمر وقته بشكل مفيد
215382,"unproductively, fruitlessly, unprofitably",in an unproductive manner,,"عَلَى نَحْو غَيْر مُثْمِر,عَلَى نَحْو غَيْر مُفِيد",على نحو لا يجدي نفعاً ونتائجه سلبية وليس لها قيمة,انتهت المحادثات بشكل غير مثمر. عمل جاهداً ولكن بشكل غير مفيد
225476,violently,in a violent manner,they attacked violently,بِعُنْف,باستخدام القوة الشديدة التي تسبب الأذى ,غضب وضرب على الطاولة بعنف. 
230340,mentally,in your mind,he suffered mentally,"عَقْلِيَّا, دِهْنِيَّا","بشكل له علاقة بالنشاط الذهني، يحدث بواسطة العقل أو يكون داخله", قوي عقلياً. مسألة رياضية محفَّزة ذهنياً.
235417,"aside, by, away",in reserve; not for immediate use,started setting aside money to buy a car; put something by for her old age; has a nest egg tucked away for a rainy day, جَانِبَا,بطريقة توفر المال أو الأشياء للأوقات الصعبة وليس للاستخدام الحالي,بدأ يدخر المال جانباً لشراء منزل. يجب أن أوفر شيئاً ما جانباً لأجده عند الحاجة
239560,"unwittingly, unknowingly, inadvertently",without knowledge or intention,he unwittingly deleted the references,سهواً,على نحو غير مقصود ودون إدراك أو معرفة,حذفت الملف بدون قصد. تركت مفاتيحي سهواً
240791,afoot,on foot; walking,they went to the village afoot; quail are hunted either afoot or on horseback,مَشْيَاً,بواسطة السير على الأقدام,أذهب إلى عملي مشياً على الأقدام
241635,"each, to each one, for each one, apiece, from each one",to or from every one of two or more (considered individually),they received $10 each, كُلّ,من كل فرد أو لكل فرد من اثنين أو أكثر,حصل كل فرد على مبلغ جيد. لكل طفل نصيب من اللعب. على كل واحد أن يقوم بمسؤولياته. سأستلم العمل من كل واحد بحلول نهاية الأسبوع
245397,"south, in the south, to the south",in a southern direction,we moved south,جَنُوبَاً,في أو نحو الاتجاه الجنوبي,اتجه جنوباً لتصل إلى الملعب. تقع البرازيل في جنوب المكسيك
245502,"north, northerly, northwards, northward, to the north, in the north",in a northern direction,they earn more up north; Let's go north!,GAP,في أو نحو الاتجاه الشمالي,اتجه نحو الشمال. تقع كندا إلى شمال الولايات المتحدة. تنخفض الحرارة كلما اتجهت شمالاً
256007,deathly,in the manner of death,he was deathly pale,مُمِيت,على نحو يمكن أن يسبب الموت أو يكون شبيهاً بالموت,كان شاحباً بشكل مميت. طقس بارد بشكل مميت
268751,adjectively,as an adjective,nouns are frequently used adjectively,GAP,يستخدم على أنه صفة لشيء ما ,كثيراً ما تستخدم الأسماء بشكل نعتي. تستخدم الأحوال بشكل صفة للأفعال
268865,adverbially,as an adverb,the prepositional phrase here is used adverbially,"ظَرْفِيَّاً, كَظَرْف",يستخدم على أنه ظرف ,"كلمة ""هنا"" تستخدم ظرفياً لبيان المكان. كلمة ""مساء "" تستخدم كظرف زمان"
270082,attributively,in an attributive manner,the genitive noun is used attributively,"دَلالَةً, نَعْتَاً",يستخدم لنسبة شيء أو وصفه,"الاسم المضاف يستخدم دلالةً . كلمة ""دافئ"" تستخدم نعتاً في عبارة ""يوم دافئ"""
276465,asleep,into a sleeping state,he fell asleep,نَائِم,في حالة نوم وليس يقظة,وجدته نائماً فلم أشأ إيقاظه
276557,asleep,in the sleep of death,,مَيِّت,في حالة رقود الموت,يرقد ميتاً على سريره
277655,atop,"on, to, or at the top",,أَعْلَى,في أو إلى الأعلى,يقع المنزل في أعلى التل ويطل على البحر. يوجد عش للطيور أعلى الشجرة
298995,"moistly, damply",in a damp manner,a scarf was tied round her head but the rebellious curl had escaped and hung damply over her left eye,"مُبَلَّلاً, رَطِبَاً",بطريقة تجعل الشيء مبللاً قليلاً,تركت زخات المطر الطريق مبللاً. يجب أن تبقى التربة رطبةً بعض الشيء
306173,"daylong, all day long",during the entire day,light pours daylong into the parlor,GAP,خلال النهار بطوله كاملاً,أمضى طوال اليوم في العمل
310908,destructively,in a destructive manner,he is destructively aggressive, تَدْمِيْرِيَّاً,بطريقة تسبب الدمار والخراب,أثر الزلزال على المنطقة تدميرياً. الأعاصير هي إحدى القوى المؤثرة بشكل تدميري على المناطق
311268,"harmfully, noxiously, detrimentally",in a detrimental manner,,GAP,يؤثر على الكائنات أو العقل أو الأشياء بشكل يسبب الضرر والأذى الشديدين,تؤثر النفايات السامة على البيئة بشكل ضار جداً. بعض الأفكار والعقائد السامة تؤثر بشكل مؤذٍ على سلوك الأفراد
326996,educationally,in an educational manner,the assistant masters formed a committee of their own to consider what could be done educationally for the town,"تَعْلِيْمِيَّاً, تَرْبَوِيَّاً",بطريقة تخص التربية والتعليم أوتسهم فيهما, نجحت المدرسة في بناء سمعتها تعليمياً. يسهم المعلم في إنشاء جيل ناجح تربوياً .
336594,expressively,with expression; in an expressive manner,"she gave the order to the waiter, using her hands very expressively",GAP,بطريقة تعبر عن الشخص بالنسبة لما يفكر أو يشعر به,ترسم لوحاتها بشكل معبر جميل. 
337789,"falsely, incorrectly",in an incorrect manner,to credit Lister with the first formulation of the basic principle of stratigraphy would be to bestow credit falsely,خَطَأً,"على نحو خاطئ، أو مزور، أو غير صحيح",اتُهم بالسرقة خطأً . تم تشخيص المرض خطأً
358208,hereupon,immediately after this,"hereupon, the passengers stumbled aboard",GAP,"يتبع مباشرة بعد هذه المرحلة، أو كنتيجة مباشرة لموقف ما",بعد هذا الموقف استقال وانسحب من منصبه
360138,horizontally,in a horizontal direction,a gallery quite often is added to make use of space vertically as well as horizontally,أفُقِيَّا,"بشكل موازٍ للأرض، أو موازٍ لأعلى أو أسفل شيء ما",نظرت إلى البحر أفقياً
360312,vertically,in a vertical direction,a gallery quite often is added to make use of space vertically as well as horizontally, عَمُوْدِيَّاً,على مستوى رأسي بزاوية 90 من المستوى الأفقي,تسلق عمودياً إلى القمة
382423,interrogatively,in a questioning format,,بِفُضُول,"بطريقة تعبر عن الشك في صحة شيء، أو تظهر أنك تريد إجابة لسؤالك","رفعت حاجبيها بفضول. ماذا، متى، أين وكيف نستخدمها بشكل استجوابي أحياناً"
394435,logarithmically,in a logarithmic manner,data plotted logarithmically with respect to time is shown in Figure 2,لوغرثميا,بطريقة خاصة باللوغاريتمات ( وهي عدد المرات التي يُضرب فيها الرقم بنفسه,مقياس طبقة الصوت مرتبط لوغاريتمياً بالتردد
407179,musically,in a musical manner,She sang very musically,مُوسِيْقِيَّاً,على نحو له علاقة بالموسيقى,هذه المدرسة للأطفال الموهوبين موسيقياً
407778,"in return, reciprocally",(often followed by `for') in exchange or in reciprocation,gave up our seats on the plane and in return received several hundred dollars and seats on the next plane out; we get many benefits in return for our taxes,GAP,كشيء متبادل مع شيء آخر ,أحصل على راتب جيد في مقابل العمل
409125,"nationwide, across the nation, nationally, across the country",extending throughout an entire nation,nationally advertised; it was broadcast nationwide, وَطَنِيَّا,على نحو يمتد خلال البلاد بكاملها,تمت إذاعة البرنامج وطنياً
413081,numerically,in number; with regard to numbers,"in ten years' time the Oxbridge mathematicians, scientists, and engineers will not be much more significant numerically than the Oxbridge medical schools are now",عَدَدِيَّا,بطريقة تتضمن الأرقام أو يعبر عنها بالأرقام,جيش متفوق عددياً. تم ترتيب الملفات عددياً
416660,obligatorily,in an obligatory manner,this rule applies obligatorily,"إلزامياً,إجبارياً",بطريقة تعني وجوب فعل الشيء لأنه قاعدة أو قانون,تُطبق القوانين هنا إلزامياً. يلتزم الطلاب بالحضور إجبارياً
416968,organizationally,with regard to organization,"organizationally, the conference was a disaster!",تَنْظِيْمِيَّاً,بطريقة خاصة بالمؤسسة أو على نحو خاص بطريقة عمل أو ارتباط أجزاء مختلفة من شيء ما,"تنظيمياً، كان المؤتمر كارثة"
419209,parentally,in a parental manner,,أبَوِيَّا,بطريقة خاصة بالوالدين أو بكونك والداً,موافقة موقعة أبوياً للأطفال دون 18. 
421786,perceptually,with regard to perception,this task is perceptually very difficult," إٍدْرَاكِياً,حسياً",بطريقة تتعلق بالقدرة على ملاحظة شيء أو تشكيل نظرة عن شيء باستخدام الحواس,مهارات عالية حسياً. مهمة صعبة إدراكياً
437981,purposefully,in a purposeful manner,"he caught the motorcycles in the full glare of his headlights, braked and slipped purposefully out of the car","قَصْدَاً, بِقَصْدَ","على نحو يظهر أنك تعلم ما تفعل، وأنك تفعله بنية وبسابق إصرار وتصميم",رفع صوته  قصداً ليُسمع الجميع. لم أجرح مشاعرها بقصد.
438569,qualitatively,in a qualitative manner,this discoloration qualitatively suggests that the substance is low in inorganic iron, نَوْعِيَّاً, بطريقة لها علاقة بخصائص شيء ما ونوعه سواء كانت جيدة أو سيئة,هناك جوانب مختلفة نوعياً في طريقة تفكير الآباء والأبناء
469534,straightway,in a direct course,plunged straightway to the rocks below,"حالا, مُبَاشَرَة",مباشرة ودون تأجيل, لبى النداء حالاً. أشرقت الشمس وتبعثرت الغيوم في السماء مباشرة.
470364,therewith,with that or this or it,"I have learned that whatever state I am, therewith to be content""- Phil.4:11",بِذَلِكَ,بهذا الذي ذُكر الآن,تعلمت أنني رغم ما أنا عليه فيجب بذلك أن أكون راضياً
481406,tomorrow,"the next day, the day after, following the present day",,غَدَاً,"اليوم الذي يلي اليوم الحاضر، يوم الغد",اليوم هو السبت وغداً يوم الأحد.
504802,"specially, especially",in a special manner,a specially arranged dinner,GAP,"  يتم بطريقة معينة،",صُنع بطريقة خاصة. تعامل صديقاتها بطريقة خاصة
508084,causally,in a causal fashion,causally efficacious powers,سَبَبِيَّا,على نحو يفيد بأن شيئاً ما يسبب شيئاً آخر.,إن عاصفة قوية واحدة غير مرتبطة سببياً بالاحتباس الحراري
508749,redly,displaying a red color,"the forge belched redly at the sky""-Adria Langley", مُحْمَرَّا,ظاهر في لون أو وهج أحمر , بدت السماء محمرة عند الغروب
514106,positively,so as to be positive; in a positive manner,she intended her remarks to be interpreted positively, إِيْجَابِيَّاً,"على نحو جيد أو إيجابي، أو لتأكيد شيء لم يكن متوقعاً",أتمنى تفسير كلامي إيجابياً.
515224,adjectivally,as an adjective; in an adjectival manner,, وصْفِيَّا,"بكونه صفة، بطريقة تصف الشيء","في عبارة ""ملعقة المطبخ""، كلمة ""المطبخ"" تستخدم وصفياً"
,,,,,,
,,,,,,