PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or GAP,Arabic Gloss,Arabic Examples,Deleted lemmas,New lemmas,Phrase,Synset after cleaning_cleaned lemmas or GAP
8300,half,partially or to the extent of a half,he was half hidden by the bushes,نِصْف,إشارة إلى أحد الجزأين المتساويين أو المتعادلين تقريباً من كل واحد, نصف نائم. نصف ساعة,,,,نِصْف
24432,"not, non",negation of a word or group of words,he does not speak French; she is not going; they are not friends; not many; not much; not at all,"لَيْسَ, لا",أداة تستخدم لنفي فعل أو صفة أو عبارة,ليس بالقليل. ليسوا أصدقاء. لا يتحدث لغات أخرى,,,,"لَيْسَ, لا"
25873,nowhere,not anywhere; in or at or to no place,I am going nowhere,GAP,إشارة إلى عدم الوجود في أي مكان أو الذهاب إليه أو المجيء منه ,لم أجده في ولا مكان. لا مكان لدي لأذهب إليه,,,لا مكان,GAP
25968,"somewhere, someplace",in or at or to some place,"she must be somewhere""; (`someplace' is used informally for `somewhere')",<مَكَان ما>,إشارة إلى الوجود في مكان ما أو الذهاب إليه أو المجيء منه,اختبأ في مكان ما. ذاهب إلى مكان ما يكون آمناً,,مَكَان ما,,مَكَان ما
31700,still,"with reference to action or condition; without change, interruption, or cessation",it's still warm outside; will you still love me when we're old and grey?,[لا زَالَ],مستمراً في الحدوث دون تغيّر أو انقطاع,ما زال كل شيء على حاله. هل ما زلت غاضباً مني؟,لا زَالَ,,ما زال,GAP
32002,"anymore, any longer",at the present or from now on; usually used with a negative,Alice doesn't live here anymore; the children promised not to quarrel any more,[مِن الآن فَصَاعِدَاً],إشارة إلى توقف شيء ما عن الحدوث في الزمن الحاضر وعدم حدوثه ثانية في المستقبل,لن تتحدث معه بعد الآن. لن أقبل بالتنازل بعد الآن,مِن الآن فَصَاعِدَاً,,بعد الآن,GAP
33808,"instantaneously, in a flash, outright, instantly",without any delay,he was killed outright,"حَالاً, فَوْرَاً",بطريقة يحدث فيها الشيء مباشرة دون أي تأجيل,اخرج من الغرفة حالاً. طفل مطيع يلبي طلب والدته فوراً. سأرسل لهم نسخة في الحال. سأذهب على الفور لأتفقد حاله. ,,,"على الفور، في الحال","حَالاً, فَوْرَاً"
37620,"genuinely, really, truly",in accordance with truth or fact or reality,she was now truly American; a genuinely open society; they don't really listen to us,"حَقَّاً, [بِإِخْلاص],[ بِصِدْق],[ صِدْقَاً]",بشكل حقيقي وصادق بعيداً عن الخداع والكذب,أنا حقاً آسف بشأن ما حدث. لقد سرّت في الحقيقة عندما رأته. في الواقع لا أحد يستمع إليه,"بِإِخْلاص, بِصِدْق, صِدْقَاً",,"في الواقع، في الحقيقة",حَقَّاً
44672,vocationally,affecting the pursuit of a vocation or occupation,vocationally trained,"[فَنِّيَّاً], [حَرَفِيَّاً], مِهَنِيَّاً,[ وَظِيْفِيَّاً]",بطريقة تزودك بالمهارات  اللازمة للاستعداد للوظيفة أو المهنة,متدرب مهنياً. استشاره مهنياً. ,"فَنِّيَّاً,حَرَفِيَّاً, وَظِيْفِيَّاً",,, مِهَنِيَّاً
47177,"devilishly, madly, insanely, deadly, deucedly",(used as intensives) extremely,she was madly in love; deadly dull; deadly earnest; deucedly clever; insanely jealous,"   لِلْغَايَة,[ بِشَكْلٍ ش],[ بِشَكْلٍ م],[ بِجُنُون]، [إلى حد بعيد]",بطريقة مفعمة بالطاقة والحماس والاهتمام,إنها سعيدة للغاية. ذكي إلى حد كبير.  جدي للغاية," بِشَكْلٍ ش, بِشَكْلٍ م, بِجُنُون,إلى حد بعيد",,إلى حد كبير,   لِلْغَايَة
49277,"now, straightaway, directly, at once, immediately, instantly, forthwith, straight off, in real time, like a shot, right away",without delay or hesitation; with no time intervening,he answered immediately; found an answer straightaway; an official accused of dishonesty should be suspended forthwith; Come here now!,"حَالاً, مُبَاشَرَةً, فَوْرَاً",حدوث الشيء بدون تردد أو تأجيل أو مقاطعة في المنتصف ,أحضر الطعام حالاً. أجاب على السؤال مباشرة. ذهب لاستقباله فوراً عند معرفته بمجيئه. لبى النداء في الحال.  عند رؤيته هرب على الفور. ,,,"في الحال، على الفور","حَالاً, مُبَاشَرَةً, فَوْرَاً"
54750,next,at the time or occasion immediately following,next the doctor examined his back,"[ثُمَّ بَعْدَ ذَلِكَ],[ بَعْدَ هَذَا], [فِي الْمَرَّة الْتَالِيَة], بَعْدَها, [بَعْدَ ذَلِكَ مُبَاشَرَة], ثُمَّ",كون الشيء يأتي مباشرة بعد الشيء الموجود أو المذكور في الوقت الحاضر,بعد ذلك ذهبنا للتسوق. اكسر البيض بعدها قم بخفقه. ثم ماذا حدث؟ ,"ثُمَّ بَعْدَ ذَلِكَ, بَعْدَ هَذَا,فِي الْمَرَّة الْتَالِيَة,بَعْدَ ذَلِكَ مُبَاشَرَة",,بعد ذلك," بَعْدَها, ثُمَّ"
55174,by machine,with the use of a machine,the shirt is sewn by machine,آلِيَّاً, تم باستخدام الآلة ,تمت تعبئته آلياً لا تمسه الأيدي. ,,,,آلِيَّاً
60392,"increasingly, progressively, more and more",advancing in amount or intensity,she became increasingly depressed,تَدْرِيجِيَّا,بشكل يتزايد في الكم أو الحجم كلما تقدم,يتطور نمو الإنسان تدريجياً.,,,,تَدْرِيجِيَّا
60735,de facto,in reality or fact,"the result was, de facto, a one-party system","فِعْلِيَّا, وَاقِعِيَّا","موجود في الحقيقة، رغم أنه غير قانوني أو غير مقصود بالضرورة",الدكتاتوريون يحكمونهم فعلياً. كانت النتيجة واقعياً هي الفصل من العمل . ,,,,"فِعْلِيَّا, وَاقِعِيَّا"
62868,"purposely, intentionally, advisedly, on purpose, deliberately, by choice, by design, designedly",with intention; in an intentional manner,he used that word intentionally; I did this by choice,"[قَصْدَا], مَقْصُود, عَمْدَا, مُتَعَمَّد","بطريقة مقصودة ومخطط لها مسبقاً، مع سبق الأصرار والتصميم",لم أكن أنوي تجاهلك بشكل مقصود. كانت نيته التجريح عمداً. لم أكن أنوي الإساءة بشكل متعمد. فعلت ذلك عن قصد. .  ,قَصْدَا,,عن قصد," مَقْصُود, عَمْدَا, مُتَعَمَّد"
64899,chromatically,with respect to color,chromatically pure,لَوْنِيَّا,فيما يخص الألوان ودرجاتها وتشبعها,مشبع لونياً. صافٍ لونياً,,,,لَوْنِيَّا
65694,twice,two times,I called her twice,"مَرَّتَيْن, مَرَّتَان",حدوث الشيء مرتين,اتصلت بك مرتين,,,,"مَرَّتَيْن, مَرَّتَان"
71721,nearby,not far away in relative terms,she works nearby; the planets orbiting nearby are Venus and Mars,قَرِيْباً,ليس بعيداً نسبياً,لاحظت وجود مقهى قريباً من هنا,,,,قَرِيْباً
73946,asexually,in an asexual manner,plants that reproduce asexually,"[ لا تَزَاوُجِي],[ بِلا تَزَاوُج]",بطريقة حيث لا وجود للأعضاء الجنسية والتزاوج,تتكاثر البكتيريا لا جنسياً," لا تَزَاوُجِي, بِلا تَزَاوُج",,لا جنسي,GAP
76459,"back and forth, to and fro, backward and forward",moving from one place to another and back again,he traveled back and forth between Los Angeles and New York; the treetops whipped to and fro in a frightening manner; the old man just sat on the porch and rocked back and forth all day, [إِقْبَالاً وَ إِدْبَارَاً],التحرك في أحد الاتجاهات ثم العودة في الاتجاه المعاكس,تراقصت مع الموسيقى جيئة وذهاباً. قطعت تذكرة السفر ذهاباً وإياباً.,إِقْبَالاً وَ إِدْبَارَاً,,"جيئةً وذهاباً، ذهاباً وإياباً.",GAP
76947,aurally,with regard to sound or the ear,the new musical was visually and aurally appealing,سَمْعِيَّا,بطريقة خاصة بالسمع والأصوات  والأذنين ,يمكن اكتشاف الأمواج الصوتية سمعياً,,,,سَمْعِيَّا
78316,conversely,with the terms of the relation reversed,"conversely, not all women are mothers","بِالْعَكْس,[ بالمَقْلُوب], [والعَكْسُ بالعَكْس]",بطريقة معاكسة للشيء أو الفعل,"وبالعكس، زوجها نباتي. "," بالمَقْلُوب,والعَكْسُ بالعَكْس",,,بِالْعَكْس
79765,"tonight, this evening, this night",during the night of the present day,drop by tonight,,الليلة التي تأتي بعد غروب اليوم الحالي,سنخرج للعشاء سوياً هذه الليلة,,,هذه الليلة,GAP
80519,"higher up, in a higher place, above, to a higher place",in or to a place that is higher,,"[فوق], أَعْلَى",موجود أو ذاهب إلى مكان ما أعلى من الحالي,تمت ترقيته إلى وظيفة أعلى. صاعد إلى أعلى مكان ,فوق,,, أَعْلَى
81118,contractually,by virtue of a contract,they were contractually responsible,"[بِحَسَب الإِتِّفَاق],تعاقدياً",بحسب ما هو مكتوب ومذكور في العقد,كان ملتزماً تعاقدياً. استحقت نصف المبلغ بحسب العقد,بِحَسَب الإِتِّفَاق,,بحسب العقد,تعاقدياً
84573,"specially, particularly, peculiarly, especially",to a distinctly greater extent or degree than is common,he was particularly fussy about spelling; a particularly gruesome attack; under peculiarly tragic circumstances; an especially (or specially) cautious approach to the danger,"خُصُوصَاً,[ بِشَكْل مُمَيَّز]",بطريقة معينة غير الطريقة العامة المعتادة,الكلام موجه لك بشكل خاص. أحب الحلويات وخصوصاً الكيك, بِشَكْل مُمَيَّز,,بشكل خاص,خُصُوصَاً
86161,"speedily, rapidly, chop-chop, quickly, apace",with rapid movements,he works quickly,مُسْرِع,بطريقة وبتحرك سريع في وقت قصير,وصلت الشرطة مسرعة وألقت القبض عليه. تسير السيارة مسرعة دون توقف,,,,مُسْرِع
86488,fast,quickly or rapidly (often used as a combining form),how fast can he get here?; ran as fast as he could; needs medical help fast; fast-running rivers; fast-breaking news; fast-opening (or fast-closing) shutters,"[مُسْرِع]، (سريع)",بطريقة سريعة (تستخدم في عبارة مركبة),نهر سريع الجريان. افتتاح سريع للمركز . أخبار عاجلة سريعة الوصول,مُسْرِع,سريع,,سريع
101601,far,at or to or from a great distance in space,he traveled far; strayed far from home; sat far away from each other,بَعِيد,"في، إلى أو من مسافة كبيرة وبعيدة في الزمان أو المكان",ما زال المكان بعيداً من هنا. سافر بعيداً عن بلده,,,,بَعِيد
104448,forth,out into view,came forth from the crowd; put my ideas forth,مُتَقَدِّمَاً,من مكان ما إلى مكان آخر للأمام بحيث يمكن رؤيته,انطلقت السفينة متقدمة من الميناء. خرج من بين الحضور متقدماً إلى المسرح,,,,مُتَقَدِّمَاً
105032,"at the least, at least",not less than,at least two hours studying the manual; a tumor at least as big as an orange,GAP,إشارة إلى أن الموجود أو المذكور حالياً هو أقل ما يمكن بالعدد أو النوع,سأدفع نصف الأجرة على الأقل. اغسل الصحون على الأقل,,,على الأقل,GAP
105215,"at most, at the most",not more than,spend at most $20 on the lunch,[على  أكْثَر تَقْدِير],إشارة إلى أن الموجود أو المذكور حالياً هو أكثر شيء ممكن بالعدد أو النوع,سيحتاج العمل أسبوعاً على الأكثر. سيكلف هذا عشرين دولاراً على الأكثر,على  أكْثَر تَقْدِير,,على الأكثر,GAP
107608,"normally, unremarkably, usually, commonly, ordinarily",under normal conditions,usually she was late,"عَادَةً, [غَالِبَاً],[ بِشَكْلٍ عَادِي]",يحدث بطريقة معتادة ومتوقعة ومنتظمة في معظم الأوقات,يخرج دون تناول الإفطار عادةً. كانت تتأخر عادةً. يذهب إلى عمله سيراً على الأقدام بشكل اعتيادي,"غَالِبَاً, بِشَكْلٍ عَادِي",,بشكل اعتيادي,عَادَةً
117417,together,at the same time,we graduated together,"سَوِيَّةً, مَعًا",مع بعضهم البعض في نفس الوقت,ردد التلاميذ سوياً. اخلط الخضار معاً في الوعاء. يجب أن نلتقي مع بعضنا البعض. ,,,مع بعض,"سَوِيَّةً, مَعًا"
118527,"and so, then, so, and then",subsequently or soon afterward (often used as sentence connectors),"then he left; go left first, then right; first came lightning, then thunder; we watched the late movie and then went to bed; and so home and to bed","[بَعْدَئِذٍ], ثُمَّ"," يأتي مباشرة بعد الشيء الحاضر يكون تالياً أو نتيجة له، وتستخدم كلمات للربط",ذهب إلى البنك ثم إلى السوق. سأتدرب جيداً ومن ثم أصبح متمرساً. سأكتب المقال بعد ذلك سأنشره ,بَعْدَئِذٍ,,"بعد ذلك، ومن ثم", ثُمَّ
119149,volumetrically,with respect to volume,analyzed volumetrically,حَجْمِيَّاً,بشكل يخص قياس الحجم ثلاثي الأبعاد,تحليل مكونات المادة حجمياً. تقنية العرض بشكل حجمي,,,بشكل حجمي,حَجْمِيَّاً
124579,ethnically,with respect to ethnicity,the neighborhood is ethnically diverse,عِرْقِيَّاً,بشكل يتعلق بالعرق من حيث الانتماء إلى مجموعة معينة من الناس تشترك في الثقافة واللغة والتاريخ والعادات,مجموعات مترابطة عرقياً. بلدة متنوعة عرقياً,,,,عِرْقِيَّاً
125333,injuriously,in an injurious manner,, [بِشَكْلِ تَجْرِيْحِي],بطريقة تسبب الأذى والضرر,أثرت العملية عليها بشكل مؤذٍ. ,بِشَكْلِ تَجْرِيْحِي,,بشكل مؤذٍ,GAP
127522,socially,in a social manner,socially unpopular,إِجْتِمَاعِيَّاً,بشكل له علاقة بالمجتمع أو بالمواقف الاجتماعية,شخصية معروفة اجتماعياً. تصرف غير مقبول اجتماعياً,,,,إِجْتِمَاعِيَّاً
128223,temporally,with regard to temporal order,temporally processed,"مَرْحَلِيَّا, [زَمَانِي], مَرْحَليّ, زَمَنِي, [وَقْتِي]",بشكل له علاقة بالترتيب الزمني حيث يكون محدوداً به,يتم التقويم مرحلياً. عملية متواصلة زمنياً.   يكون التأثير زمنياً ,"زَمَانِي,وَقْتِي",,,"مَرْحَلِيَّا, مَرْحَليّ, زَمَنِي"
128750,therapeutically,for therapeutic purposes,,"عِلاجِيَّاً, [دَوَائِيَّاً]",بطريقة تخص علاج الأمراض أو الحالات الطبية,دواء فعال علاجياً. إنه من أكثر المواد الآمنة علاجياً,دَوَائِيَّاً,,,عِلاجِيَّاً
129340,verbally,by means of language,verbally expressive,"[حَرْفِيَّا], لَفْظِيَّا, شَفَهِيَّا",بطريقة تستخدم فيها اللغة  لفظاً وكلاماً بدل الكتابة, تم العقد لفظياً. عبر عنه شفهياً.,حَرْفِيَّا,,," لَفْظِيَّا, شَفَهِيَّا"
130685,bacterially,by bacteria,spreads bacterially,"[عَن طَرِيْقٍ الْبَكْتِيْرْيَا], بَكْتِيْرِيَّاً, [عَلَى نَحْوٍ بَكْتِيْرِيّ], [عَن طَرِيْقٍ الجَرَاثِيم], جُرْثُوْمِيَّاً",يحدث وتسببه البكتيريا ,تنتشر العدوى بكتيرياً. النمو جرثومياً. مواد تقتل العفن المنتشر بواسطة البكتيريا,"عَن طَرِيْقٍ الْبَكْتِيْرْيَا,عَلَى نَحْوٍ بَكْتِيْرِيّ,عَن طَرِيْقٍ الجَرَاثِيم",,بواسطة البكتيريا," بَكْتِيْرِيَّاً, جُرْثُوْمِيَّاً"
131326,spatially,with regard to space,spatially limited,"[حَيِّزِيَّاً], [فَضَائِيَّاً], مَكَانِيَّاً",على نحو له علاقة بالموقع والمساحة والحجم,منطقة محدودة مكانياً. لا يعرف الطريق ومشوش مكانياً.,"حَيِّزِيَّاً,فَضَائِيَّاً",,, مَكَانِيَّاً
131610,"lingually, linguistically",with respect to language,linguistically impaired children; a lingually diverse population,"[لِسَانِيَّا], لُغَوِيَّا",على نحو له علاقة باللغة وعلومها.,بيانات هامة لغوياً. سكان متنوعون لغوياً,لِسَانِيَّا,,, لُغَوِيَّا
136477,nationally,with regard to a nation taken as a whole,a nationally uniform culture,"[قَوْمِيَّا], وَطَنِيَّا","بواسطة أو إلى كل فرد في الأمة، على نحو يتعلق بالأمة ككلّ",إعلان تم عرضه وطنياً. شخصية مشهورة وطنياً,قَوْمِيَّا,,, وَطَنِيَّا
137279,sexually,by sexual means,reproduce sexually,"[تَنَاسُلِيَّاً], جِنْسِيَّاً",على نحو جنسي وبوسائل جنسية,تتكاثر الثدييات جنسياً.,تَنَاسُلِيَّاً,,, جِنْسِيَّاً
137473,lexically,by means of words,lexically represented,"[عَلَى نَحْوٍ قَاموسِيّ],[ بِشَكْلٍ مُعْجَمِيّ], [قَامُوسِيَّاً], [عَلَى نَحْوٍ مُفْرَدَاتِي], مُعْجَمِيَّاَ",على نحو له علاقة بكلمات ومفردات اللغة والتي تتميز بشكلها النحوي والتركيبي,تمييز الكلمات معجمياً. مفردات متشابهة معجمياً,"عَلَى نَحْوٍ قَاموسِيّ, بِشَكْلٍ مُعْجَمِيّ,قَامُوسِيَّاً,عَلَى نَحْوٍ مُفْرَدَاتِي",,, مُعْجَمِيَّاَ
139421,"likely, in all probability, belike, probably, in all likelihood",with considerable certainty; without much doubt,He is probably out of the country; in all likelihood we are headed for war," رُبَّمَا,  [عَلَى أَغْلَب الظَّن]",متوقع الحدوث أو صحيح أوليس فيه مجال كبير للشك,ربما هو خارج البلاد. من المحتمل أن تكون الإجابة صحيحة. على الأرجح سأعود غداً. من المتوقع فوزه في السباق. من المرجح هطول المطر غداً.,عَلَى أَغْلَب الظَّن,,"من المحتمل، من المرجح، من المتوقع، على الأرجح", رُبَّمَا
